Country,years,TotalArrivals,overnightStay,SameDay
Andorra,1995,0,0,0
Andorra,1996,0,0,0
Andorra,1997,0,0,0
Andorra,1998,0,0,0
Andorra,1999,9422000,2347000,7075000
Andorra,2000,10991000,2949000,8042000
Andorra,2001,11351000,3516000,7835000
Andorra,2002,11507000,3387000,8120000
Andorra,2003,11601000,3138000,8463000
Andorra,2004,11668000,2791000,8877000
Andorra,2005,11049000,2418000,8631000
Andorra,2006,10737000,2227000,8510000
Andorra,2007,10743000,2189000,8554000
Andorra,2008,10194000,2059000,8134000
Andorra,2009,9112000,1830000,7282000
Andorra,2010,8551000,1808000,6743000
Andorra,2011,7983000,2242000,5741000
Andorra,2012,7900000,2238000,5663000
Andorra,2013,7676000,2328000,5348000
Andorra,2014,7797000,2363000,5433000
Andorra,2015,7850000,2663000,5187000
Andorra,2016,8025000,2819000,5206000
Andorra,2017,8152000,3003000,5149000
Andorra,2018,8328000,3042000,5286000
Andorra,2019,8235000,3090000,5145000
Bermuda,1995,557000,387000,170000
Bermuda,1996,570000,390000,182000
Bermuda,1997,562000,380000,182000
Bermuda,1998,558000,370000,188000
Bermuda,1999,549000,355000,194000
Bermuda,2000,539000,332000,207000
Bermuda,2001,458000,278000,180000
Bermuda,2002,484000,284000,200000
Bermuda,2003,483000,257000,226000
Bermuda,2004,478000,272000,206000
Bermuda,2005,517000,270000,247000
Bermuda,2006,635000,299000,336000
Bermuda,2007,660000,306000,354000
Bermuda,2008,550000,264000,286000
Bermuda,2009,554000,236000,318000
Bermuda,2010,580000,232000,348000
Bermuda,2011,652000,236000,416000
Bermuda,2012,610000,232000,378000
Bermuda,2013,576000,236000,340000
Bermuda,2014,580000,224000,356000
Bermuda,2015,597000,220000,377000
Bermuda,2016,642000,244000,398000
Bermuda,2017,688000,270000,418000
Bermuda,2018,766000,282000,484000
Bermuda,2019,805000,269000,536000
Cyprus,1995,2253000,2100000,153000
Cyprus,1996,2089000,1950000,139000
Cyprus,1997,2194000,2088000,106000
Cyprus,1998,2357000,2223000,134000
Cyprus,1999,2578000,2434000,143000
Cyprus,2000,2912000,2686000,226000
Cyprus,2001,2841000,2697000,144000
Cyprus,2002,2495000,2418000,77000
Cyprus,2003,2416000,2303000,113000
Cyprus,2004,2478000,2349000,129000
Cyprus,2005,2657000,2470000,187000
Cyprus,2006,2629000,2401000,228000
Cyprus,2007,2671000,2416000,255000
Cyprus,2008,2631000,2404000,227000
Cyprus,2009,2370000,2141000,229000
Cyprus,2010,2450000,2173000,277000
Cyprus,2011,2626000,2392000,234000
Cyprus,2012,2635000,2465000,170000
Cyprus,2013,2626000,2405000,221000
Cyprus,2014,2558000,2441000,147000
Cyprus,2015,2780000,2659000,121000
Cyprus,2016,3286000,3187000,100000
Cyprus,2017,3750000,3652000,98000
Cyprus,2018,4024000,3939000,85000
Cyprus,2019,4117000,3977000,140000
Czech Republic,1995,0,3381000,0
Czech Republic,1996,0,4558000,0
Czech Republic,1997,0,4976000,0
Czech Republic,1998,0,5482000,0
Czech Republic,1999,0,5610000,0
Czech Republic,2000,0,4773000,0
Czech Republic,2001,0,5405000,0
Czech Republic,2002,0,4743000,0
Czech Republic,2003,20108000,7641000,12467000
Czech Republic,2004,23808000,9047000,14761000
Czech Republic,2005,24747000,9404000,15343000
Czech Republic,2006,25102000,9539000,15564000
Czech Republic,2007,22625000,9370000,13255000
Czech Republic,2008,21850000,9373000,12477000
Czech Republic,2009,23285000,8848000,14437000
Czech Republic,2010,21941000,8629000,13312000
Czech Republic,2011,22810000,9019000,13792000
Czech Republic,2012,25750000,10123000,15627000
Czech Republic,2013,26332000,10300000,16032000
Czech Republic,2014,27166000,10649000,16518000
Czech Republic,2015,29604000,11619000,17985000
Czech Republic,2016,32519000,12808000,19711000
Czech Republic,2017,34701000,13665000,21036000
Czech Republic,2018,36268000,14282600,21985900
Czech Republic,2019,0,0,0
Denmark,1995,0,0,0
Denmark,1996,0,2125000,0
Denmark,1997,0,2158000,0
Denmark,1998,0,2073000,0
Denmark,1999,0,2023000,0
Denmark,2000,0,3535000,0
Denmark,2001,0,3684000,0
Denmark,2002,0,3436000,0
