hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
142582,RA-09602,RU,56.93,34.92,9753,326,785,0.0,9613,GZP9613,4G9613,UUMO,OSF,UBBB,GYD,GZP,4G,FA7X,1647955710,en-route
150864,RA-67684,RU,60.98,68.17,6400,78,500,0.0,,,,,,,,UTA,UT,AT75,1647955710,en-route
157711,RA-96017,RU,56.03,42.6,10347,262,825,0.0,73,RSD73,,UUWW,VKO,,,RSD,,IL96,1647955710,en-route
157768,RA-96104,RU,56.08,36.88,5676,168,707,-7.8,994,RSD994,,ULLI,LED,,,RSD,,IL96,1647955710,en-route
300243,I-DPCU,IT,41.78,12.67,586,87,275,7.5,,,,LIRA,CIA,,,,,CL2T,1647955710,en-route
300554,I-ADJP,IT,46.69,11.24,8557,355,809,-5.2,9KX,DLA9KX,EN8293,LIPE,BLQ,EDDM,MUC,DLA,EN,E195,1647955710,en-route
300564,I-ADJT,IT,48.1,11.42,2827,54,496,-4.2,4TR,DLA4TR,EN8291,LIMF,TRN,EDDM,MUC,DLA,EN,E195,1647955710,en-route
300612,I-OBSW,IT,41.9,12.52,1371,164,264,0.0,,,,,,,,,,P68,1647955710,en-route
300621,I-BRXA,IT,45.69,9.79,350,267,233,-3.3,,,,,,,,ELH,,EC45,1647955710,en-route
300625,I-DADJ,IT,41.99,12.49,350,357,179,2.3,,,,,,,,,,DV20,1647955710,en-route
300688,I-FENI,IT,43.5,9.86,1645,330,264,-0.7000000000000001,,,,,,,,,,P66P,1647955710,en-route
300709,I-AHTD,IT,46.46,11.97,1661,144,200,1.3,,,,,,,,ELH,,EC45,1647955710,en-route
300762,I-AVNE,IT,43.71,13.49,556,223,366,-5.5,668,VND668,,LIRA,CIA,LIPY,AOI,VND,,LJ40,1647955710,en-route
300815,I-DADN,IT,42.1,12.7,266,143,192,-1.3,,,,,,,,,,DV20,1647955710,en-route
320031,MM81962,,46.12,9.41,815,88,129,7.5,,,,,,,,,,A169,1647955710,en-route
341395,EC-HEK,ES,43.24,-4.78,8229,244,648,0.0,8358,ANE8358,IB8358,LEBB,BIO,LEST,SCQ,IBE,IB,CRJ2,1647955710,en-route
341646,EC-IJN,ES,40.49,-3.59,0,270,29,0.0,32LA,IBE32LA,IB3231,LIRF,FCO,LEMD,MAD,IBE,IB,A321,1647955710,en-route
